assemblyRevision,serialNumber,testerName,type,dataFolderName,indictmentType,repairOperator,repairStatus,designator,partId,pinId,defect_name,defect_image,img_folder
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,BadJoint,Semen_O,1,1:u56,SA0000BJI0Q,,['BadJoint'],E_2112_1-u56.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Extra Part,Semen_O,1,1:pr458,SD036200E8Q,,['Extra Part'],E_2112_1-pr458.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Coplanarity,Semen_O,1,1:pc1637,SE00000PL0Q,,['Coplanarity'],E_2112_1-pc1637.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Side Camera Err,Semen_O,1,1:pl61,SH000013A0Q,,['Side Camera Err'],E_2112_1-pl61.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,BadJoint,Semen_O,1,1:pq2,SB00001F70Q,,['BadJoint'],E_2112_1-pq2.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Missing,Semen_O,1,1:jp139,SPS10005GAQ,,['Missing'],E_2112_1-jp139.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Coplanarity,Semen_O,1,1:jp138,SPS10005GAQ,,['Coplanarity'],E_2112_1-jp138.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,OCV Fail,Semen_O,1,1:pl120,SH00001NM0Q,,['OCV Fail'],E_2112_1-pl120.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,BadJoint,Semen_O,1,1:jp197,SP01002NIAQ,,"['BadJoint', 'RowOffset']",E_2112_1-jp197.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,RowOffset,Semen_O,1,1:jp197,SP01002NIAQ,,"['BadJoint', 'RowOffset']",E_2112_1-jp197.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Hor off,Semen_O,1,1:jp_bat1,SPS7000030Q,,['Hor off'],E_2112_1-jp_bat1.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Extra Part,Semen_O,1,1:r1673,SD03430108Q,,['Extra Part'],E_2112_1-r1673.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Bridging,Semen_O,1,1:jp50,SPS10005JAQ,,['Bridging'],E_2112_1-jp50.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Polarity,Semen_O,1,1:u26,SA0000BT70Q,,['Polarity'],E_2112_1-u26.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,BadJoint,Semen_O,1,1:y1,SJ00000DA0Q,,['BadJoint'],E_2112_1-y1.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Extra Part,Semen_O,1,1:pc1271,SE00000G98Q,,['Extra Part'],E_2112_1-pc1271.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,OCV Fail,Semen_O,1,1:r726,SD00000DH8Q,,['OCV Fail'],E_2112_1-r726.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Polarity,Semen_O,1,1:u60,SA00005DB0Q,,['Polarity'],E_2112_1-u60.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Missing Lead,Semen_O,1,1:c62,SF000005K0Q,,['Missing Lead'],E_2112_1-c62.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,BadJoint,Semen_O,1,1:c1170,SF000005K0Q,,['BadJoint'],E_2112_1-c1170.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON068,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-48-41,Polarity,Semen_O,1,1:u10,SA03257000Q,,['Polarity'],E_2112_1-u10.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-48-41/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,BadJoint,Semen_O,1,1:u56,SA0000BJI0Q,,['BadJoint'],E_2114_1-u56.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,BadJoint,Semen_O,1,1:u59,SA07407020Q,,['BadJoint'],E_2114_1-u59.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Missing,Semen_O,1,1:pc680,SE000008L0Q,,"['Missing', 'Coplanarity']",E_2114_1-pc680.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Coplanarity,Semen_O,1,1:pc680,SE000008L0Q,,"['Missing', 'Coplanarity']",E_2114_1-pc680.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Extra Part,Semen_O,1,1:pu62,SA0000CNG0Q,,['Extra Part'],E_2114_1-pu62.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Left off,Semen_O,1,1:jp138,SPS10005GAQ,,"['Left off', 'Right off']",E_2114_1-jp138.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Right off,Semen_O,1,1:jp138,SPS10005GAQ,,"['Left off', 'Right off']",E_2114_1-jp138.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Extra Part,Semen_O,1,1:pc463,SE00000G98Q,,['Extra Part'],E_2114_1-pc463.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Polarity,Semen_O,1,1:led19,SC50000C80Q,,['Polarity'],E_2114_1-led19.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Left off,Semen_O,1,1:eu1,SA00007EG0Q,,"['Left off', 'Hor off', 'Skew', 'Polarity', 'RowOffset', 'Lifted Lead', 'Missing Lead']",E_2114_1-eu1.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Hor off,Semen_O,1,1:eu1,SA00007EG0Q,,"['Left off', 'Hor off', 'Skew', 'Polarity', 'RowOffset', 'Lifted Lead', 'Missing Lead']",E_2114_1-eu1.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Skew,Semen_O,1,1:eu1,SA00007EG0Q,,"['Left off', 'Hor off', 'Skew', 'Polarity', 'RowOffset', 'Lifted Lead', 'Missing Lead']",E_2114_1-eu1.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Polarity,Semen_O,1,1:eu1,SA00007EG0Q,,"['Left off', 'Hor off', 'Skew', 'Polarity', 'RowOffset', 'Lifted Lead', 'Missing Lead']",E_2114_1-eu1.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,RowOffset,Semen_O,1,1:eu1,SA00007EG0Q,,"['Left off', 'Hor off', 'Skew', 'Polarity', 'RowOffset', 'Lifted Lead', 'Missing Lead']",E_2114_1-eu1.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Lifted Lead,Semen_O,1,1:eu1,SA00007EG0Q,,"['Left off', 'Hor off', 'Skew', 'Polarity', 'RowOffset', 'Lifted Lead', 'Missing Lead']",E_2114_1-eu1.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Missing Lead,Semen_O,1,1:eu1,SA00007EG0Q,,"['Left off', 'Hor off', 'Skew', 'Polarity', 'RowOffset', 'Lifted Lead', 'Missing Lead']",E_2114_1-eu1.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,RowOffset,Semen_O,1,1:jp197,SP01002NIAQ,,['RowOffset'],E_2114_1-jp197.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Hor off,Semen_O,1,1:jp_bat1,SPS7000030Q,,['Hor off'],E_2114_1-jp_bat1.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Extra Part,Semen_O,1,1:r1673,SD03430108Q,,['Extra Part'],E_2114_1-r1673.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Coplanarity,Semen_O,1,1:r989,SD034499A8Q,,['Coplanarity'],E_2114_1-r989.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Bridging,Semen_O,1,1:jp50,SPS10005JAQ,,"['Bridging', 'RowOffset']",E_2114_1-jp50.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,RowOffset,Semen_O,1,1:jp50,SPS10005JAQ,,"['Bridging', 'RowOffset']",E_2114_1-jp50.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Polarity,Semen_O,1,1:u26,SA0000BT70Q,,['Polarity'],E_2114_1-u26.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON06A,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-53-33,Polarity,Semen_O,1,1:u60,SA00005DB0Q,,['Polarity'],E_2114_1-u60.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-53-33/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON069,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-50-26,BadJoint,Semen_O,1,1:pl25,SH00001FP0Q,,['BadJoint'],E_2113_1-pl25.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-50-26/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON069,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-50-26,Side Camera Err,Semen_O,1,1:pl26,SH00001UH0Q,,['Side Camera Err'],E_2113_1-pl26.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-50-26/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON069,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-50-26,Extra Part,Semen_O,1,1:pr458,SD036200E8Q,,['Extra Part'],E_2113_1-pr458.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-50-26/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON069,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-50-26,BadJoint,Semen_O,1,1:u58,SA07407020Q,,['BadJoint'],E_2113_1-u58.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-50-26/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON069,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-50-26,Bridging,Semen_O,1,1:u777,SA0000C590Q,,['Bridging'],E_2113_1-u777.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-50-26/
DEMB0_LA-G437P_MB_A01_T,Y1TVA44DON069,D-SMT-AOI-51,IndictmentXML,D-SMT-AOI-51[@$@]2024-05-27-23-50-26,Left off,Semen_O,1,1:jp139,SPS10005GAQ,,"['Left off', 'Right off']",E_2113_1-jp139.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/27/D-SMT-AOI-51[@$@]2024-05-27-23-50-26/
