assemblyRevision,serialNumber,testerName,type,dataFolderName,indictmentType,repairOperator,repairStatus,designator,partId,pinId,defect_name,defect_image,img_folder
MBDX86784004B_T,Y0VCA44J5Z006,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-08-01-48,Extra Part,Mihail_V,0,1:u46,DAP8211R,,['Extra Part'],E_4314_1-u46.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-08-01-48/
MBDX86784004B_T,Y0VCA44JYF02F,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-08-22-46,BadJoint,Semen_O,0,1:bt1,AAA-BAT-054-P04,,['BadJoint'],E_4318_1-bt1.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-08-22-46/
MBDX86784004B_T,Y0VCA44JYF00M,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-08-13-45,Extra Part,Semen_O,0,1:r4496,RC0402FR-0733RL,,['Extra Part'],E_4315_1-r4496.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-08-13-45/
MBDX86784004B_T,Y0VCA44JYF00M,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-08-13-45,Extra Part,Semen_O,0,1:r4497,RC0402FR-0733RL,,['Extra Part'],E_4315_1-r4497.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-08-13-45/
MBDX86784004B_T,Y0VCA44JYF012,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-08-41-13,BadJoint,Semen_O,0,1:c2349,EEFGX0E471R,,['BadJoint'],E_4324_1-c2349.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-08-41-13/
MBDX86784004B_T,Y0VCA44J5Z004,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-08-46-53,BadJoint,Semen_O,0,1:bt1,AAA-BAT-054-P04,,['BadJoint'],E_4326_1-bt1.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-08-46-53/
MBDX86784004B_T,Y0VCA44JYF00Z,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-08-57-58,Bridging,Mihail_V,0,1:u314,NTJD4001NT1G,,['Bridging'],E_4329_1-u314.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-08-57-58/
MBDX86784004B_T,Y0VCA44JYF00B,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-09-36-00,Extra Part,Semen_O,0,1:u300,SN74AUP1G07DCKR,,['Extra Part'],E_4338_1-u300.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-09-36-00/
MBDX86784004B_T,Y0VCA44KQV051,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-09-49-44,Skew,Semen_O,0,1:c1963,CC0603MRX5R7BB106,,['Skew'],E_4342_1-c1963.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-09-49-44/
MBDX86784004B_T,Y0VCA44KQV058,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-09-53-08,Bridging,Semen_O,0,1:j82,1-2199230-6,,['Bridging'],E_4343_1-j82.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-09-53-08/
MBDX86784004B_T,Y0VCA44JYF005,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-10-28-45,BadJoint,Semen_O,0,1:c2349,EEFGX0E471R,,['BadJoint'],E_4355_1-c2349.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-10-28-45/
MBDX86784004B_T,Y0VCA44JYF00W,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-10-31-44,Bridging,Semen_O,0,1:u294,9ZXL0831EKILF,,['Bridging'],E_4356_1-u294.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-10-31-44/
MBDX86784004B_T,Y0VCA44JYF007,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-10-38-19,BadJoint,Semen_O,0,1:u267,QS3VH257PAG8,,['BadJoint'],E_4358_1-u267.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-10-38-19/
MBDX86784004B_T,Y0VCA44JYF002,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-10-48-25,Skew,Semen_O,0,1:u278,MP86956GMJ,,['Skew'],E_4361_1-u278.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-10-48-25/
MBDX86784004B_T,Y0VCA44JYF002,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-10-48-25,Extra Part,Semen_O,0,1:c3925,CC0402KRX5R7BB105,,['Extra Part'],E_4361_1-c3925.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-10-48-25/
MBDX86784004B_T,Y0VCA44JYF002,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-10-48-25,Extra Part,Semen_O,0,1:c3926,CC0402KRX5R7BB105,,['Extra Part'],E_4361_1-c3926.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-10-48-25/
MBDX86784004B_T,Y0VCA44JYF002,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-10-48-25,Extra Part,Semen_O,0,1:r4041,RC0603FR-072R2L,,['Extra Part'],E_4361_1-r4041.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-10-48-25/
MBDX86784004B_T,Y0VCA44JYF002,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-10-48-25,Skew,Semen_O,0,1:m20,9774020151R,,['Skew'],E_4361_1-m20.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-10-48-25/
MBDX86784004B_T,Y0VCA44JYF002,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-10-48-25,Missing,Semen_O,0,1:r4042,RC0402FR-072KL,,['Missing'],E_4361_1-r4042.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-10-48-25/
MBDX86784004B_T,Y0VCA44KQV04R,D-SMT-AOI-41,IndictmentXML,D-SMT-AOI-41[@$@]2024-05-02-11-30-11,Flipped,Semen_O,0,1:d52,"PTVS3V3P1UP,115",,['Flipped'],E_4370_1-d52.jpg,/media/ilya/My Passport/HSE/RAWData/img_files_may/2024/05/02/D-SMT-AOI-41[@$@]2024-05-02-11-30-11/
